k,arm,score_name,threshold,coverage,selective_risk,selective_accuracy,accepted_count,abstained_count
2,p0,probability_margin,0.995949307893037,0.8796992481203008,0.0,1.0,468,64
2,p0,probability_margin,0.9970356664387778,0.868421052631579,0.0,1.0,462,70
2,p0,probability_margin,0.9973630623463854,0.8590225563909775,0.0,1.0,457,75
2,p0,probability_margin,0.9978862986250153,0.849624060150376,0.0,1.0,452,80
2,p0,probability_margin,0.9980259085512186,0.8402255639097744,0.0,1.0,447,85
2,p0,probability_margin,0.9983595470722559,0.8289473684210527,0.0,1.0,441,91
2,p0,probability_margin,0.9986727283990905,0.8195488721804511,0.0,1.0,436,96
2,p0,probability_margin,0.9987523702344223,0.8101503759398496,0.0,1.0,431,101
2,p0,probability_margin,0.9990172971147193,0.7988721804511278,0.0,1.0,425,107
2,p0,probability_margin,0.9991602202040047,0.7894736842105263,0.0,1.0,420,112
2,p0,probability_margin,0.9992339875605016,0.7800751879699248,0.0,1.0,415,117
2,p0,probability_margin,0.9993308816095344,0.768796992481203,0.0,1.0,409,123
2,p0,probability_margin,0.9994032058293728,0.7593984962406015,0.0,1.0,404,128
2,p0,probability_margin,0.9994639724236842,0.75,0.0,1.0,399,133
2,p0,probability_margin,0.9994859202341444,0.7387218045112782,0.0,1.0,393,139
2,p0,probability_margin,0.999556455531115,0.7293233082706767,0.0,1.0,388,144
2,p0,probability_margin,0.999589662226617,0.7199248120300752,0.0,1.0,383,149
2,p0,probability_margin,0.9996438497779383,0.7105263157894737,0.0,1.0,378,154
2,p0,probability_margin,0.9997077055735731,0.6992481203007519,0.0,1.0,372,160
2,p0,probability_margin,0.9997405530153354,0.6898496240601504,0.0,1.0,367,165
2,p0,probability_margin,0.9997670016618112,0.6804511278195489,0.0,1.0,362,170
2,p0,probability_margin,0.999796942230736,0.6691729323308271,0.0,1.0,356,176
2,p0,probability_margin,0.9998170441946675,0.6597744360902256,0.0,1.0,351,181
2,p0,probability_margin,0.9998325850042794,0.650375939849624,0.0,1.0,346,186
2,p0,probability_margin,0.9998453425534098,0.6390977443609023,0.0,1.0,340,192
2,p0,probability_margin,0.9998703849574923,0.6296992481203008,0.0,1.0,335,197
2,p0,probability_margin,0.9998859598789316,0.6203007518796992,0.0,1.0,330,202
2,p0,probability_margin,0.9998973795498008,0.6090225563909775,0.0,1.0,324,208
2,p0,probability_margin,0.9999182148470962,0.599624060150376,0.0,1.0,319,213
2,p0,probability_margin,0.9999328050466831,0.5902255639097744,0.0,1.0,314,218
2,p0,probability_margin,0.9999360667499474,0.5789473684210527,0.0,1.0,308,224
2,p0,probability_margin,0.9999474688689424,0.5695488721804511,0.0,1.0,303,229
2,p0,probability_margin,0.9999626769525094,0.5601503759398496,0.0,1.0,298,234
2,p0,probability_margin,0.9999677035614096,0.5507518796992481,0.0,1.0,293,239
2,p0,probability_margin,0.999980014921225,0.5394736842105263,0.0,1.0,287,245
2,p0,probability_margin,0.9999853657602898,0.5300751879699248,0.0,1.0,282,250
2,p0,probability_margin,0.9999884239358179,0.5206766917293233,0.0,1.0,277,255
2,p0,probability_margin,0.9999918072004079,0.5093984962406015,0.0,1.0,271,261
2,p0,probability_margin,0.9999944074680245,0.5,0.0,1.0,266,266
2,p0,probability_margin,0.9999951127036008,0.4906015037593985,0.0,1.0,261,271
2,p0,probability_margin,0.9999967080916166,0.4793233082706767,0.0,1.0,255,277
2,p0,probability_margin,0.9999979269014012,0.4699248120300752,0.0,1.0,250,282
2,p0,probability_margin,0.9999984864783559,0.4605263157894737,0.0,1.0,245,287
2,p0,probability_margin,0.99999926725936,0.4492481203007519,0.0,1.0,239,293
2,p0,probability_margin,0.9999994033211844,0.4398496240601504,0.0,1.0,234,298
2,p0,probability_margin,0.9999995485499659,0.43045112781954886,0.0,1.0,229,303
2,p0,probability_margin,0.9999997010220832,0.42105263157894735,0.0,1.0,224,308
2,p0,probability_margin,0.99999976727298,0.40977443609022557,0.0,1.0,218,314
2,p0,probability_margin,0.999999855280522,0.40037593984962405,0.0,1.0,213,319
2,p0,probability_margin,0.9999999100905906,0.39097744360902253,0.0,1.0,208,324
2,p0,probability_margin,0.9999999579954421,0.37969924812030076,0.0,1.0,202,330
2,p0,probability_margin,0.9999999668201698,0.37030075187969924,0.0,1.0,197,335
2,p0,probability_margin,0.9999999759919341,0.3609022556390977,0.0,1.0,192,340
2,p0,probability_margin,0.9999999839981771,0.34962406015037595,0.0,1.0,186,346
2,p0,probability_margin,0.9999999891479264,0.34022556390977443,0.0,1.0,181,351
2,p0,probability_margin,0.9999999921303164,0.3308270676691729,0.0,1.0,176,356
2,p0,probability_margin,0.9999999948533647,0.31954887218045114,0.0,1.0,170,362
2,p0,probability_margin,0.9999999979424881,0.3101503759398496,0.0,1.0,165,367
2,p0,probability_margin,0.9999999981899965,0.3007518796992481,0.0,1.0,160,372
2,p0,probability_margin,0.9999999989405287,0.2894736842105263,0.0,1.0,154,378
2,p0,probability_margin,0.9999999991649785,0.2800751879699248,0.0,1.0,149,383
2,p0,probability_margin,0.9999999995615011,0.2706766917293233,0.0,1.0,144,388
2,p0,probability_margin,0.9999999997443885,0.26127819548872183,0.0,1.0,139,393
2,p0,probability_margin,0.9999999999035963,0.25,0.0,1.0,133,399
2,p0,probability_margin,0.9999999999443995,0.24060150375939848,0.0,1.0,128,404
2,p0,probability_margin,0.9999999999657967,0.231203007518797,0.0,1.0,123,409
2,p0,probability_margin,0.9999999999816873,0.2199248120300752,0.0,1.0,117,415
2,p0,probability_margin,0.9999999999950829,0.21052631578947367,0.0,1.0,112,420
2,p0,probability_margin,0.9999999999970801,0.20112781954887218,0.0,1.0,107,425
2,p0,probability_margin,0.9999999999993463,0.18984962406015038,0.0,1.0,101,431
2,p0,probability_margin,0.9999999999997639,0.18045112781954886,0.0,1.0,96,436
2,p0,probability_margin,0.9999999999999094,0.17105263157894737,0.0,1.0,91,441
2,p0,probability_margin,0.9999999999999949,0.16165413533834586,0.0,1.0,86,446
2,p0,probability_margin,0.9999999999999973,0.15225563909774437,0.0,1.0,81,451
2,p0,probability_margin,0.9999999999999984,0.14097744360902256,0.0,1.0,75,457
2,p0,probability_margin,0.9999999999999993,0.13345864661654136,0.0,1.0,71,461
2,p0,probability_margin,0.9999999999999999,0.12406015037593984,0.0,1.0,66,466
2,p0,probability_margin,1.0,0.12030075187969924,0.0,1.0,64,468
