combo_id,feature_arm,feature_dimension,model_id,fold_id,status,train_rows,validation_rows,train_subjects,validation_subjects,validation_repetitions,fit_predict_seconds,warning_count,warning_messages,window_accuracy,window_balanced_accuracy,window_macro_f1,window_weighted_f1,window_macro_precision,window_macro_recall,window_cohen_kappa,repetition_accuracy,repetition_balanced_accuracy,repetition_macro_f1,repetition_weighted_f1,repetition_macro_precision,repetition_macro_recall,repetition_cohen_kappa,subject_macro_f1_mean,subject_macro_f1_std,subject_balanced_accuracy_mean
F-ALL14__logistic_regression,F-ALL14,42,logistic_regression,0,COMPLETED,29397,8260,25,7,140,12.171400664999965,2,"['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.', 'datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).']",0.7320823244552058,0.7320823244552057,0.7341022862754812,0.7341022862754812,0.7419643332431815,0.7320823244552057,0.6427764326069411,0.7785714285714286,0.7785714285714285,0.7778285724430557,0.7778285724430557,0.787123687858982,0.7785714285714285,0.7047619047619047,0.74109565737717,0.15224867989791097,0.7785714285714286
F-ALL14__logistic_regression,F-ALL14,42,logistic_regression,1,COMPLETED,30577,7080,26,6,120,6.246922518000247,1,['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.'],0.7519774011299435,0.7519774011299435,0.7481835474036269,0.7481835474036268,0.7640353373456449,0.7519774011299435,0.6693032015065914,0.8583333333333333,0.8583333333333334,0.858780903665814,0.858780903665814,0.8794871794871795,0.8583333333333334,0.8111111111111111,0.8404970574088221,0.1544783126169013,0.8583333333333333
F-ALL14__logistic_regression,F-ALL14,42,logistic_regression,2,COMPLETED,30680,6977,26,6,119,11.450115935000213,1,['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.'],0.6773684964884621,0.6759819507925791,0.6731637911826226,0.6747937978346367,0.6773406332525,0.6759819507925791,0.5699292350075884,0.773109243697479,0.7724137931034483,0.7726560253091745,0.7735466921885235,0.7745221027479092,0.7724137931034483,0.6975145923554886,0.7376254532504531,0.1583208645979139,0.775
F-ALL14__logistic_regression,F-ALL14,42,logistic_regression,3,COMPLETED,30577,7080,26,6,120,11.577371083999878,1,['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.'],0.7594632768361582,0.7594632768361582,0.7595746752009434,0.7595746752009434,0.771591066440068,0.7594632768361582,0.6792843691148776,0.8333333333333334,0.8333333333333333,0.8348654034137906,0.8348654034137906,0.8497474747474747,0.8333333333333333,0.7777777777777778,0.8128096440596441,0.17522834683035554,0.8333333333333334
F-ALL14__logistic_regression,F-ALL14,42,logistic_regression,4,COMPLETED,29397,8260,25,7,140,7.304631978000089,1,['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.'],0.6171912832929782,0.6171912832929782,0.6237872933253408,0.6237872933253409,0.6335939621427877,0.6171912832929782,0.4895883777239709,0.6428571428571429,0.6428571428571428,0.6485991629853523,0.6485991629853524,0.6586452762923352,0.6428571428571428,0.5238095238095238,0.5896688941801723,0.22186561013624426,0.6428571428571429
F-NO-MOMENTS12__logistic_regression,F-NO-MOMENTS12,36,logistic_regression,0,COMPLETED,29397,8260,25,7,140,10.2306558639998,2,"['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.', 'datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).']",0.7271186440677966,0.7271186440677966,0.7279047324499222,0.7279047324499223,0.7361416184192023,0.7271186440677966,0.6361581920903955,0.7785714285714286,0.7785714285714286,0.7758100376485935,0.7758100376485934,0.7846403596403597,0.7785714285714286,0.7047619047619047,0.7434225496725497,0.16008714464112514,0.7785714285714286
F-NO-MOMENTS12__logistic_regression,F-NO-MOMENTS12,36,logistic_regression,1,COMPLETED,30577,7080,26,6,120,5.32319044299993,1,['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.'],0.7538135593220339,0.753813559322034,0.7512028182506236,0.7512028182506236,0.7631852493463489,0.753813559322034,0.6717514124293785,0.8333333333333334,0.8333333333333333,0.831423140888572,0.8314231408885722,0.8524710504549213,0.8333333333333333,0.7777777777777778,0.8017316017316017,0.1514051887762712,0.8333333333333334
F-NO-MOMENTS12__logistic_regression,F-NO-MOMENTS12,36,logistic_regression,2,COMPLETED,30680,6977,26,6,119,11.187379674000113,1,['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.'],0.6646122975490899,0.6630129629491675,0.6592833793545794,0.6610296229696765,0.6609632919723609,0.6630129629491675,0.5528821284745051,0.7394957983193278,0.7387931034482758,0.7373190699548215,0.7381928996743297,0.7378562342932476,0.7387931034482758,0.6527019393711165,0.7074366605616605,0.13740250473933205,0.7395833333333334
F-NO-MOMENTS12__logistic_regression,F-NO-MOMENTS12,36,logistic_regression,3,COMPLETED,30577,7080,26,6,120,6.164643243000228,1,['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.'],0.7560734463276836,0.7560734463276836,0.7567979827943871,0.756797982794387,0.7701323908427212,0.7560734463276836,0.6747645951035781,0.825,0.8250000000000001,0.8278159748747984,0.8278159748747984,0.8478535353535355,0.8250000000000001,0.7666666666666666,0.8042867399485046,0.16986238920638194,0.8250000000000001
F-NO-MOMENTS12__logistic_regression,F-NO-MOMENTS12,36,logistic_regression,4,COMPLETED,29397,8260,25,7,140,9.881648739999946,1,['scipy.optimize: The `disp` and `iprint` options of the L-BFGS-B solver are deprecated and will be removed in SciPy 1.18.0.'],0.6148910411622276,0.6148910411622276,0.622060128676626,0.6220601286766261,0.6331662835324835,0.6148910411622276,0.4865213882163034,0.6214285714285714,0.6214285714285714,0.6285027472527472,0.6285027472527472,0.6440476190476191,0.6214285714285714,0.49523809523809526,0.558800952597945,0.22968896871973388,0.6214285714285713
F-TD8__linear_svm,F-TD8,24,linear_svm,0,COMPLETED,29397,8260,25,7,140,1.0687107509997986,1,['datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).'],0.67590799031477,0.67590799031477,0.6726994772656795,0.6726994772656795,0.6807252921097706,0.67590799031477,0.5678773204196933,0.7,0.7,0.6880349671526306,0.6880349671526305,0.7107843137254902,0.7,0.6,0.6547856904999761,0.11463692109894372,0.7
F-TD8__linear_svm,F-TD8,24,linear_svm,1,COMPLETED,30577,7080,26,6,120,1.0259058960000402,0,[],0.6714689265536723,0.6714689265536723,0.6552699826562135,0.6552699826562134,0.6634760233250742,0.6714689265536723,0.5619585687382298,0.7333333333333333,0.7333333333333334,0.7117157092843591,0.7117157092843591,0.7318121693121693,0.7333333333333334,0.6444444444444444,0.6950697450697451,0.09824565818184564,0.7333333333333333
