candidate_id,feature_arm,model_name,fold,feature_dimension,fit_windows,holdout_windows,holdout_trials,holdout_subjects,fit_seconds,window_accuracy,window_balanced_accuracy,window_macro_f1,window_weighted_f1,window_macro_precision,window_macro_recall,window_cohen_kappa,trial_accuracy,trial_balanced_accuracy,trial_macro_f1,trial_weighted_f1,trial_macro_precision,trial_macro_recall,trial_cohen_kappa
F-ALL14__dummy_most_frequent,F-ALL14,dummy_most_frequent,0,224,108864,28224,588,7,0.49940637600002447,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0
F-ALL14__dummy_most_frequent,F-ALL14,dummy_most_frequent,1,224,108864,28224,588,7,0.5121488670001781,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0
F-ALL14__dummy_most_frequent,F-ALL14,dummy_most_frequent,2,224,112896,24192,504,6,0.45190328900025634,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0
F-ALL14__dummy_most_frequent,F-ALL14,dummy_most_frequent,3,224,108864,28224,588,7,0.4886978879999333,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0
F-ALL14__dummy_most_frequent,F-ALL14,dummy_most_frequent,4,224,108864,28224,588,7,0.5104249089999939,0.25,0.25,0.1,0.1,0.0625,0.25,0.0,0.25,0.25,0.1,0.1,0.0625,0.25,0.0
F-ALL14__lda_shrinkage,F-ALL14,lda_shrinkage,0,224,108864,28224,588,7,3.4220747750000555,0.9270833333333334,0.9270833333333334,0.9281694109445817,0.9281694109445816,0.9346048502660823,0.9270833333333334,0.9027777777777778,0.9744897959183674,0.9744897959183673,0.9746615002357665,0.9746615002357666,0.9758043248945147,0.9744897959183673,0.9659863945578231
F-ALL14__lda_shrinkage,F-ALL14,lda_shrinkage,1,224,108864,28224,588,7,5.587400749000153,0.9003330498866213,0.9003330498866213,0.9002924258603556,0.9002924258603557,0.9062828201119766,0.9003330498866213,0.8671107331821617,0.9370748299319728,0.9370748299319728,0.9369446870512476,0.9369446870512476,0.940198527326799,0.9370748299319728,0.9160997732426304
F-ALL14__lda_shrinkage,F-ALL14,lda_shrinkage,2,224,112896,24192,504,6,2.8510206500000095,0.9255952380952381,0.925595238095238,0.9275300633132126,0.9275300633132127,0.9377865687082265,0.925595238095238,0.9007936507936508,0.9781746031746031,0.9781746031746033,0.97832074438971,0.97832074438971,0.9794653524492234,0.9781746031746033,0.9708994708994709
F-ALL14__lda_shrinkage,F-ALL14,lda_shrinkage,3,224,108864,28224,588,7,2.7772205629999007,0.9208475056689343,0.9208475056689343,0.9215996704550945,0.9215996704550944,0.9278878233049064,0.9208475056689343,0.8944633408919123,0.9540816326530612,0.9540816326530612,0.9541581911847619,0.9541581911847618,0.9573010351264212,0.9540816326530612,0.9387755102040817
F-ALL14__lda_shrinkage,F-ALL14,lda_shrinkage,4,224,108864,28224,588,7,3.072045980999974,0.9159226190476191,0.9159226190476191,0.9161830328347772,0.9161830328347772,0.9173082827761037,0.9159226190476191,0.8878968253968254,0.9608843537414966,0.9608843537414966,0.9608174658519193,0.9608174658519192,0.9618722284427407,0.9608843537414966,0.9478458049886621
F-ALL14__logistic_regression,F-ALL14,logistic_regression,0,224,108864,28224,588,7,76.210882201,0.9308035714285714,0.9308035714285714,0.9309482188317393,0.9309482188317393,0.9338860688961219,0.9308035714285714,0.9077380952380952,0.9710884353741497,0.9710884353741496,0.971386109415321,0.9713861094153209,0.9732474940187865,0.9710884353741496,0.9614512471655329
