rank,k,candidate_index,policy_id,distance_metric,subject_prototype_weight,personalization_blend_weight,temperature,selection_scope,episode_count,subject_count,seed_count,p0_macro_f1_mean,p1_macro_f1_mean,delta_macro_f1_mean,delta_macro_f1_p10,delta_macro_f1_std,p1_balanced_accuracy_mean,harm_episode_fraction,elapsed_seconds
33,2,20,k2-policy20,sqeuclidean,0.5,0.5,0.5,all_eval,640,32,20,0.8011657027867966,0.7956248590818904,-0.005540843704906208,0.0,0.03503783748266177,0.8281901041666668,0.075,16.800542145999998
34,2,29,k2-policy29,sqeuclidean,0.75,0.75,1.0,all_eval,640,32,20,0.8011657027867966,0.7941403713474026,-0.0070253314393939476,-0.008928571428571397,0.06985059023114391,0.8279296875,0.1046875,15.670449248000068
35,2,35,k2-policy35,sqeuclidean,1.0,0.75,1.0,all_eval,640,32,20,0.8011657027867966,0.7940805375180376,-0.007085165268759028,-0.08571428571428574,0.07542413607014903,0.8267578125,0.128125,15.766065651999952
36,2,23,k2-policy23,sqeuclidean,0.5,0.75,1.0,all_eval,640,32,20,0.8011657027867966,0.792926277281746,-0.00823942550505051,0.0,0.05711990936219662,0.8262369791666668,0.09375,15.769632677000118
1,3,17,k3-policy17,cosine,1.0,0.75,1.0,all_eval,640,32,20,0.8002473958333333,0.8220814732142857,0.02183407738095238,0.0,0.10235726279505218,0.8533203125,0.090625,15.801737871000114
2,3,16,k3-policy16,cosine,1.0,0.75,0.5,all_eval,640,32,20,0.8002473958333333,0.8220442708333333,0.021796875000000004,-0.1333333333333333,0.1408633557547387,0.851171875,0.19375,15.719979310999861
3,3,10,k3-policy10,cosine,0.75,0.75,0.5,all_eval,640,32,20,0.8002473958333333,0.8216127232142856,0.021365327380952384,-0.1333333333333333,0.13128557949743488,0.850390625,0.1796875,16.284024499999987
4,3,11,k3-policy11,cosine,0.75,0.75,1.0,all_eval,640,32,20,0.8002473958333333,0.8179594494047618,0.017712053571428573,0.0,0.08869854666448425,0.8494140625,0.0734375,16.24220926099997
5,3,14,k3-policy14,cosine,1.0,0.5,0.5,all_eval,640,32,20,0.8002473958333333,0.8174906994047619,0.017243303571428573,0.0,0.077758691173969,0.848828125,0.0546875,15.834724701000141
6,3,4,k3-policy04,cosine,0.5,0.75,0.5,all_eval,640,32,20,0.8002473958333333,0.8128218005952382,0.012574404761904768,-0.1333333333333333,0.11670070852202935,0.84375,0.1703125,15.691677153
7,3,8,k3-policy08,cosine,0.75,0.5,0.5,all_eval,640,32,20,0.8002473958333333,0.8099014136904763,0.009654017857142858,0.0,0.06797925168352519,0.842578125,0.0546875,15.870613050999964
8,3,5,k3-policy05,cosine,0.5,0.75,1.0,all_eval,640,32,20,0.8002473958333333,0.8056901041666666,0.005442708333333333,0.0,0.0778505481678488,0.83984375,0.078125,15.675319569000067
9,3,2,k3-policy02,cosine,0.5,0.5,0.5,all_eval,640,32,20,0.8002473958333333,0.8038299851190477,0.0035825892857142853,0.0,0.059216168236841164,0.8375,0.05625,15.651409043000058
10,3,15,k3-policy15,cosine,1.0,0.5,1.0,all_eval,640,32,20,0.8002473958333333,0.8012983630952382,0.0010509672619047619,0.0,0.05299136626654506,0.8359375,0.0546875,15.785248316999969
11,3,12,k3-policy12,cosine,1.0,0.25,0.5,all_eval,640,32,20,0.8002473958333333,0.800225074404762,-2.232142857142884e-05,0.0,0.037196659530284115,0.8359375,0.03125,16.386198471999933
12,3,9,k3-policy09,cosine,0.75,0.5,1.0,all_eval,640,32,20,0.8002473958333333,0.7999627976190478,-0.00028459821428571466,0.0,0.046374606712139686,0.8353515625,0.046875,15.759215540000014
13,3,25,k3-policy25,sqeuclidean,0.75,0.25,1.0,all_eval,640,32,20,0.8002473958333333,0.7988020833333334,-0.0014453125,0.0,0.01644959036469397,0.834375,0.009375,16.217475126999943
14,3,6,k3-policy06,cosine,0.75,0.25,0.5,all_eval,640,32,20,0.8002473958333333,0.7986886160714286,-0.0015587797619047619,0.0,0.034014509211360136,0.834375,0.0296875,15.674192003000144
15,3,19,k3-policy19,sqeuclidean,0.5,0.25,1.0,all_eval,640,32,20,0.8002473958333333,0.7984114583333334,-0.0018359375000000001,0.0,0.018876701362511062,0.8341796875,0.0109375,15.559392245000026
16,3,3,k3-policy03,cosine,0.5,0.5,1.0,all_eval,640,32,20,0.8002473958333333,0.7982756696428572,-0.001971726190476191,0.0,0.03579233705187158,0.8341796875,0.0375,15.731090498999947
17,3,31,k3-policy31,sqeuclidean,1.0,0.25,1.0,all_eval,640,32,20,0.8002473958333333,0.7981770833333334,-0.0020703124999999997,0.0,0.017608475919508173,0.83359375,0.015625,15.692116079000016
18,3,34,k3-policy34,sqeuclidean,1.0,0.75,0.5,all_eval,640,32,20,0.8002473958333333,0.7980394345238097,-0.0022079613095238094,-0.1333333333333333,0.11222321517305328,0.8330078125,0.13125,15.811524177000138
19,3,0,k3-policy00,cosine,0.5,0.25,0.5,all_eval,640,32,20,0.8002473958333333,0.797319568452381,-0.002927827380952381,0.0,0.03188689641966732,0.833203125,0.0328125,15.56425936200003
20,3,28,k3-policy28,sqeuclidean,0.75,0.75,0.5,all_eval,640,32,20,0.8002473958333333,0.7971019345238096,-0.0031454613095238094,-0.09999999999999999,0.0981071640398077,0.8326171875,0.1125,15.684585212999991
21,3,18,k3-policy18,sqeuclidean,0.5,0.25,0.5,all_eval,640,32,20,0.8002473958333333,0.7968489583333334,-0.0033984374999999995,0.0,0.02515697449245734,0.8328125,0.025,15.753698240999938
22,3,21,k3-policy21,sqeuclidean,0.5,0.5,1.0,all_eval,640,32,20,0.8002473958333333,0.7964062500000001,-0.0038411458333333327,0.0,0.027097399066830487,0.832421875,0.0296875,15.642863201999944
23,3,13,k3-policy13,cosine,1.0,0.25,1.0,all_eval,640,32,20,0.8002473958333333,0.796328125,-0.003919270833333333,0.0,0.027078196503039206,0.8322265625,0.0296875,15.874755437999966
24,3,7,k3-policy07,cosine,0.75,0.25,1.0,all_eval,640,32,20,0.8002473958333333,0.7961197916666667,-0.004127604166666667,0.0,0.026528748854549478,0.83203125,0.0296875,15.670373766000012
25,3,1,k3-policy01,cosine,0.5,0.25,1.0,all_eval,640,32,20,0.8002473958333333,0.7953125000000001,-0.004934895833333333,0.0,0.02726812147815618,0.83125,0.0328125,15.608559144000083
26,3,24,k3-policy24,sqeuclidean,0.75,0.25,0.5,all_eval,640,32,20,0.8002473958333333,0.7947135416666667,-0.005533854166666666,0.0,0.0315037844905772,0.8310546875,0.040625,16.037958304000085
27,3,30,k3-policy30,sqeuclidean,1.0,0.25,0.5,all_eval,640,32,20,0.8002473958333333,0.7947135416666667,-0.005533854166666666,0.0,0.03232990584936387,0.830859375,0.0421875,15.682504896000182
28,3,22,k3-policy22,sqeuclidean,0.5,0.75,0.5,all_eval,640,32,20,0.8002473958333333,0.7945442708333333,-0.005703125000000001,-0.05833333333333335,0.0846109536696085,0.8306640625,0.1046875,15.598584941999889
29,3,32,k3-policy32,sqeuclidean,1.0,0.5,0.5,all_eval,640,32,20,0.8002473958333333,0.794228050595238,-0.0060193452380952394,0.0,0.06950038806537669,0.831640625,0.0875,15.791946118999931
30,3,27,k3-policy27,sqeuclidean,0.75,0.5,1.0,all_eval,640,32,20,0.8002473958333333,0.7934002976190477,-0.006847098214285715,0.0,0.040150163525274514,0.830078125,0.05625,15.795783043000029
31,3,20,k3-policy20,sqeuclidean,0.5,0.5,0.5,all_eval,640,32,20,0.8002473958333333,0.7926413690476191,-0.007606026785714287,0.0,0.048910141542209705,0.8294921875,0.065625,15.639312903000018
32,3,26,k3-policy26,sqeuclidean,0.75,0.5,0.5,all_eval,640,32,20,0.8002473958333333,0.7921093750000001,-0.008138020833333334,0.0,0.06265541500066876,0.830078125,0.078125,15.950207799000054
33,3,35,k3-policy35,sqeuclidean,1.0,0.75,1.0,all_eval,640,32,20,0.8002473958333333,0.7906361607142858,-0.00961123511904762,-0.02726190476190454,0.09193350189379156,0.828515625,0.1046875,15.998395409000068
34,3,29,k3-policy29,sqeuclidean,0.75,0.75,1.0,all_eval,640,32,20,0.8002473958333333,0.790219494047619,-0.010027901785714286,-0.009166666666666688,0.07943223571776055,0.828515625,0.1015625,15.632847229999925
35,3,23,k3-policy23,sqeuclidean,0.5,0.75,1.0,all_eval,640,32,20,0.8002473958333333,0.7899218749999999,-0.010325520833333334,0.0,0.06227999025360114,0.828125,0.0796875,16.138493071999847
36,3,33,k3-policy33,sqeuclidean,1.0,0.5,1.0,all_eval,640,32,20,0.8002473958333333,0.7891722470238095,-0.01107514880952381,0.0,0.056663282277315534,0.82734375,0.0765625,15.738175971000146
